GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.795098,18451,0.795098,10,0.881776,0.116537,0.001325,0.000241,0.000116,2e-06,2e-06,0.0,0.0,0.881776,0.765239,107.81942,80.928802,156.248352,181.45929,1.0,0.976776,131.194046,132.033886,100.530487,48.428932
Good,0.843497,19674,0.843497,6,0.987709,0.009568,0.002594,0.000117,9e-06,2e-06,1e-06,0.0,0.0,0.987709,0.978141,107.362885,74.567535,156.32486,174.2202,1.0,0.997722,124.393867,131.843872,99.652664,48.961975
Good,0.894544,19693,0.894544,9,0.996682,0.002597,0.000695,2.4e-05,2e-06,0.0,0.0,0.0,0.0,0.996682,0.994086,105.413567,83.468872,159.901855,183.516724,1.0,0.974501,133.492798,132.657711,100.047852,54.488289
Good,0.949959,17456,0.949959,12,0.995514,0.004363,0.000113,9e-06,0.0,0.0,0.0,0.0,0.0,0.995514,0.991151,106.612549,82.762398,161.371002,183.395538,1.0,0.944543,133.078968,133.991776,100.633141,54.758453
Good,0.790008,17185,0.790008,11,0.92894,0.069702,0.000924,0.000326,7.4e-05,1.8e-05,1.6e-05,0.0,0.0,0.92894,0.859238,110.421379,84.690201,156.762024,187.656601,1.0,0.965675,136.173401,133.591702,102.9664,46.340645
Good,0.783881,18145,0.783881,15,0.977243,0.021767,0.000794,9.8e-05,8.8e-05,5e-06,4e-06,1e-06,0.0,0.977243,0.955477,105.920692,83.599548,160.00206,183.207458,1.0,0.974005,133.403503,132.961376,99.60791,54.081367
Good,0.7575,21798,0.7575,6,0.859934,0.133171,0.006492,0.000352,3.6e-05,7e-06,4e-06,4e-06,0.0,0.859934,0.726763,106.141411,84.448433,160.80423,186.300598,1.0,0.964478,135.374516,133.47282,101.852165,54.662819
Good,1.261023,18176,1.261023,11,0.999751,0.000201,3.2e-05,8e-06,5e-06,2e-06,1e-06,0.0,0.0,0.999751,0.999551,107.055618,83.976173,159.722366,187.240692,1.0,0.967292,135.608433,133.388992,103.264519,52.666748
Good,0.865533,20494,0.865533,12,0.976911,0.022494,0.000291,0.00014,8.4e-05,5.1e-05,2.9e-05,0.0,0.0,0.976911,0.954417,106.233429,82.025635,160.331818,183.999573,1.0,0.964147,133.012604,133.282623,101.973938,54.098389
Good,0.969934,18394,0.969934,12,0.68458,0.313026,0.000981,0.00096,0.000401,3.7e-05,1.5e-05,1e-06,0.0,0.68458,0.371554,105.286415,84.947159,160.685471,186.453476,1.0,0.949764,135.700317,132.985943,101.506317,55.399055
Good,0.78951,18015,0.78951,11,0.912389,0.044398,0.023718,0.019094,0.000383,1.2e-05,4e-06,2e-06,0.0,0.912389,0.867991,107.237358,77.528076,157.171082,188.794769,1.0,0.919823,133.161423,132.20422,111.266693,49.933723
Good,0.631075,14848,0.631075,5,0.984139,0.015568,0.000196,7.6e-05,2.1e-05,1e-06,0.0,0.0,0.0,0.984139,0.968572,107.524277,77.575897,158.743118,187.631622,1.0,0.89911,132.60376,133.133698,110.055725,51.218842
Good,0.814331,16723,0.814331,7,0.997405,0.002237,0.000351,4e-06,2e-06,1e-06,0.0,0.0,0.0,0.997405,0.995168,107.766487,77.66069,158.268127,189.633835,1.0,0.886307,133.647263,133.017307,111.973145,50.50164
Good,0.767098,18906,0.767098,11,0.99868,0.000741,0.000336,0.000189,2.7e-05,1.2e-05,1e-05,5e-06,0.0,0.99868,0.997939,106.124336,82.833694,161.249939,182.180069,1.0,0.959597,132.506882,133.687138,99.346375,55.125603
Good,0.896959,17784,0.896959,14,0.995729,0.004149,9.5e-05,1.1e-05,6e-06,6e-06,3e-06,0.0,0.0,0.995729,0.991579,105.220322,84.408783,161.061356,184.958923,1.0,0.971893,134.683853,133.140839,100.55014,55.841034
Good,0.910266,19999,0.910266,3,0.996379,0.003174,0.000419,2.1e-05,6e-06,1e-06,0.0,0.0,0.0,0.996379,0.993205,107.471382,89.888382,153.289795,195.110703,1.0,0.949545,142.499542,130.380589,105.222321,45.818413
Good,0.980457,16373,0.980457,11,0.99956,0.000367,5.8e-05,5e-06,5e-06,5e-06,0.0,0.0,0.0,0.99956,0.999193,104.136086,88.702179,157.622421,190.251678,1.0,0.915031,139.476929,130.879253,101.5495,53.486336
Good,0.960417,16297,0.960417,11,0.999401,0.000475,6.2e-05,5.9e-05,2e-06,0.0,0.0,0.0,0.0,0.999401,0.998926,105.4692,86.556915,160.439758,188.296661,1.0,0.878881,137.426788,132.954479,101.739746,54.970558
