GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,1.002066,23287,1.002066,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999,88.338791,115.116501,174.915176,186.408157,1.0,0.999633,150.762329,131.626984,71.291656,86.576385
Good,1.258749,27123,1.258749,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,76.5047,114.617332,166.323853,184.535706,1.0,0.999829,149.576519,121.414276,69.918373,89.819153
Good,1.134153,23369,1.134153,1,0.999995,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999995,0.99999,88.819977,117.365494,174.555084,187.145096,1.0,0.999798,152.255295,131.687531,69.779602,85.735107
Good,0.97898,28598,0.97898,3,0.999986,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999986,0.999972,92.309128,118.451881,179.492325,195.764893,1.0,0.999321,157.108387,135.900726,77.313011,87.183197
Good,1.057083,25089,1.057083,4,0.999999,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999,0.999998,89.832687,116.907944,177.172562,186.516525,1.0,0.999086,151.712234,133.502625,69.608582,87.339874
Good,1.108261,26915,1.108261,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87.258522,116.033363,174.620117,184.784607,1.0,0.999814,150.408985,130.93932,68.751244,87.361595
Good,1.127757,25558,1.127757,2,0.999998,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999998,0.999997,89.500061,116.369827,176.243042,187.002182,1.0,0.999794,151.686005,132.871552,70.632355,86.742981
Good,1.116489,26667,1.116489,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,88.924728,116.268845,175.810837,189.835281,1.0,0.997468,153.052063,132.367783,73.566437,86.886108
Good,1.079095,25983,1.079095,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87.434937,118.454712,177.764008,186.496674,1.0,0.999609,152.475693,132.599472,68.041962,90.329071
Good,1.099997,26933,1.099997,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.609924,119.597809,177.661377,195.689117,1.0,0.999571,157.643463,131.635651,76.091309,92.051453
Good,1.094743,26456,1.094743,2,0.999996,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.999992,88.00354,118.700363,177.303741,186.499802,1.0,0.999879,152.600082,132.653641,67.799438,89.300201
Good,1.013965,28021,1.013965,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.832031,111.821907,181.964783,200.040619,1.0,0.999913,155.931263,132.398407,88.218712,99.132751
Good,1.033946,27450,1.033946,2,0.999999,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999,0.999998,88.959961,116.715561,182.888794,190.099716,1.0,0.999862,153.407639,135.924377,73.384155,93.928833
Good,1.086298,26847,1.086298,5,0.999873,0.00012,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999873,0.999753,88.82357,104.418556,188.727325,199.789093,1.0,0.999992,152.103825,138.775448,95.370537,99.903755
Good,0.996729,26593,0.996729,5,0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999997,0.999994,91.32869,118.404053,174.972641,189.321045,1.0,0.999947,153.862549,133.150665,70.916992,83.643951
Good,0.998852,28057,0.998852,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92.896965,119.127083,177.299591,194.578369,1.0,0.99969,156.852726,135.098278,75.451286,84.402626
Good,1.013993,24961,1.013993,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,88.755936,110.407516,181.222946,203.823929,1.0,0.999795,157.115723,134.989441,93.416412,92.46701
Good,0.981894,28149,0.981894,4,0.999992,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999992,0.999984,92.568687,119.876778,175.367523,194.234863,1.0,0.999887,157.05582,133.968105,74.358086,82.798836
Good,1.165731,26149,1.165731,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,75.253296,115.081696,165.060989,187.600281,1.0,0.999913,151.340988,120.157143,72.518585,89.807693
Good,1.006219,27655,1.006219,4,0.999998,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999998,0.999997,83.053925,114.024414,179.3927,210.128204,1.0,0.999927,162.076309,131.223312,96.10379,96.338776
Good,1.067785,29075,1.067785,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.09166,117.122917,180.732773,212.75824,1.0,0.999678,164.940578,132.912216,95.635323,95.641113
Good,1.034957,28935,1.034957,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.22168,116.824371,180.576263,212.347229,1.0,0.99963,164.5858,132.898972,95.522858,95.354584
