GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn Through,Good,Notching,Porosity,CL_ConfMax,CL_ConfMargin,Row1,Col1,Length1,Length2,PHI,OD1_ClassID,OD1_Conf
Good,0.773313,3102,0.773313,3,0.986355,0.009269,0.004344,3.2e-05,0.986355,0.977087,252.392365,235.416336,106.741341,100.90451,1.623409,0.0,0.999999
Good,0.649086,2804,0.649086,8,0.92941,0.038222,0.026028,0.006339,0.92941,0.891188,252.656708,237.846786,110.908813,103.68576,1.594172,0.0,0.999996
Good,0.661787,1915,0.661787,8,0.986984,0.009825,0.002271,0.00092,0.986984,0.97716,236.805832,268.734711,108.608284,104.713722,1.579953,0.0,0.999998
Good,1.041929,2435,1.041929,2,0.958629,0.032692,0.00856,0.000119,0.958629,0.925938,245.158539,270.123962,108.542519,104.32209,1.596515,0.0,1.0
Good,0.749168,1806,0.749168,4,0.991938,0.006472,0.001571,1.8e-05,0.991938,0.985466,244.042358,270.690826,108.972084,104.108162,1.602851,0.0,1.0
Good,0.747084,1777,0.747084,4,0.992549,0.0059,0.001532,2e-05,0.992549,0.986649,245.258087,270.907928,108.267632,103.909927,1.595596,0.0,1.0
Good,0.699315,2001,0.699315,2,0.815287,0.176242,0.008434,3.7e-05,0.815287,0.639045,241.564926,257.407837,106.788498,105.071404,1.663021,0.0,0.999992
Good,0.716521,1891,0.716521,2,0.761252,0.219467,0.018846,0.000435,0.761252,0.541785,241.908524,258.717804,106.403954,104.461113,1.662341,0.0,0.999991
Good,0.717601,1855,0.717601,2,0.751374,0.233748,0.014608,0.00027,0.751374,0.517626,241.837738,259.052643,106.676277,104.824341,1.655066,0.0,0.999994
Good,0.980458,3573,0.980458,2,0.688187,0.186993,0.068404,0.056416,0.688187,0.501194,248.407883,236.957794,108.477859,104.279808,1.620678,0.0,1.0
Good,0.623837,3578,0.623837,4,0.462319,0.302777,0.143718,0.091186,0.462319,0.159542,248.16922,237.212906,108.064362,103.769829,1.632671,0.0,0.999999
Good,0.64437,3787,0.64437,3,0.542799,0.225982,0.147305,0.083914,0.542799,0.316817,247.654602,233.655701,107.646027,103.808357,1.623762,0.0,1.0
Good,0.858553,2191,0.858553,2,0.851928,0.092665,0.048625,0.006782,0.851928,0.759263,240.04805,267.457275,108.620308,106.598427,1.578971,0.0,1.0
Good,0.630395,2281,0.630395,2,0.863926,0.100109,0.034263,0.001702,0.863926,0.763816,239.7202,267.898438,108.72467,105.851089,1.578691,0.0,1.0
Good,0.625987,2364,0.625987,2,0.856353,0.109355,0.032527,0.001765,0.856353,0.746998,240.392395,267.283875,108.480659,105.506645,1.577632,0.0,1.0
Good,0.808523,3009,0.808523,7,0.913781,0.078518,0.004485,0.003216,0.913781,0.835263,244.01651,220.698807,105.296921,103.13723,1.622359,0.0,0.999994
Good,0.637008,2807,0.637008,2,0.934117,0.053278,0.012464,0.00014,0.934117,0.880839,246.024902,227.214783,107.005791,105.334618,1.637268,0.0,0.999982
Good,0.294978,148,0.294978,2,0.496747,0.36753,0.105494,0.030229,0.496747,0.129217,245.196396,217.708954,107.316315,104.715393,1.625932,0.0,0.999999
Good,0.592209,2620,0.592209,2,0.607714,0.313964,0.052514,0.025808,0.607714,0.29375,245.911652,233.01915,109.082756,109.553856,1.64127,0.0,0.999998
Good,0.794661,2603,0.794661,8,0.940981,0.046073,0.009958,0.002988,0.940981,0.894909,237.926956,249.133942,107.548904,106.698807,1.608271,0.0,0.999998
Good,0.793434,2597,0.793434,7,0.928403,0.056465,0.011943,0.00319,0.928403,0.871938,237.956177,250.49147,107.667366,107.500389,1.605865,0.0,0.999997
Good,0.808567,3026,0.808567,6,0.914677,0.079084,0.003905,0.002335,0.914677,0.835593,244.055847,220.888046,105.303207,103.700485,1.62067,0.0,0.999994
Good,0.808491,3021,0.808491,7,0.924154,0.069123,0.004225,0.002498,0.924154,0.855031,244.329239,220.817352,105.149048,103.457214,1.620718,0.0,0.999993
